stanice;lokalita;datum;srazky;snih;prumerna_teplota;maximalni_teplota;minimalni_teplota
GME00132274;PIDING;08.12.2015;0.0;0.0;;4.4;-4.8
GME00132274;PIDING;09.12.2015;3.2;0.0;;8.5;-2.1
GME00132274;PIDING;10.12.2015;0.0;0.0;;5.9;-5.7
GME00132274;PIDING;11.12.2015;0.0;0.0;;7.4;-7.8
GME00132274;PIDING;12.12.2015;0.0;0.0;;9.9;-4.5
GME00132274;PIDING;13.12.2015;0.0;0.0;;7.5;-6.7
GME00132274;PIDING;14.12.2015;0.0;0.0;;5.5;-6.9
GME00132274;PIDING;15.12.2015;0.0;0.0;;8.4;-5.9
GME00132274;PIDING;16.12.2015;1.9;0.0;;9.2;0.9
GME00132274;PIDING;17.12.2015;0.9;0.0;;9.6;0.2
GME00132274;PIDING;18.12.2015;0.1;0.0;;8.8;-1.9
GME00132274;PIDING;19.12.2015;0.0;0.0;;11.8;-1.1
GME00132274;PIDING;20.12.2015;0.0;0.0;;8.8;-2.6
GME00132274;PIDING;21.12.2015;0.2;0.0;;12.4;-3.2
GME00132274;PIDING;22.12.2015;0.0;0.0;;12.2;-1.7
GME00132274;PIDING;23.12.2015;0.0;0.0;;11.2;-3.4
GME00132274;PIDING;24.12.2015;0.0;0.0;;9.0;-5.1
GME00132274;PIDING;25.12.2015;0.0;0.0;;12.1;-3.2
GME00132274;PIDING;26.12.2015;0.0;0.0;;11.8;-3.7
GME00132274;PIDING;27.12.2015;0.0;0.0;;11.3;-5.2
GME00132274;PIDING;28.12.2015;0.0;0.0;;8.6;-6.6
GME00132274;PIDING;29.12.2015;0.0;0.0;;6.6;-7.9
GME00132274;PIDING;30.12.2015;0.0;0.0;;3.7;-6.2
GME00132274;PIDING;31.12.2015;3.3;0.0;;0.7;-3.3
GME00132274;PIDING;01.01.2016;1.8;0.0;;4.7;0.7
GME00132274;PIDING;02.01.2016;5.2;0.0;;1.8;-0.4
GME00132274;PIDING;03.01.2016;2.7;60.0;;-0.2;-2.3
GME00132274;PIDING;04.01.2016;2.4;70.0;;2.9;-3.9
GME00132274;PIDING;05.01.2016;0.0;30.0;;4.1;-4.1
GME00132274;PIDING;06.01.2016;0.5;30.0;;4.5;-4.3
GME00132274;PIDING;07.01.2016;6.7;20.0;;6.4;-1.2
GME00132274;PIDING;08.01.2016;1.6;0.0;;7.8;0.9
GME00132274;PIDING;09.01.2016;3.8;0.0;;8.3;2.5
GME00132274;PIDING;10.01.2016;0.1;0.0;;8.4;-1.0
GME00132274;PIDING;11.01.2016;10.0;0.0;;7.0;0.9
GME00132274;PIDING;12.01.2016;12.0;0.0;;5.8;-0.9
GME00132274;PIDING;13.01.2016;5.9;0.0;;5.6;0.9
GME00132274;PIDING;14.01.2016;0.6;0.0;;4.2;-5.2
GME00132274;PIDING;15.01.2016;2.8;0.0;;3.3;-2.6
GME00132274;PIDING;16.01.2016;4.2;70.0;;0.6;-2.6
GME00132274;PIDING;17.01.2016;4.3;180.0;;-0.4;-3.6
GME00132274;PIDING;18.01.2016;0.0;210.0;;-3.2;-18.6
GME00132274;PIDING;19.01.2016;0.5;150.0;;-4.0;-18.7
GME00132274;PIDING;20.01.2016;0.0;140.0;;1.5;-8.3
GME00132274;PIDING;21.01.2016;1.2;110.0;;1.6;-13.3
GME00132274;PIDING;22.01.2016;0.1;130.0;;-4.0;-15.5
GME00132274;PIDING;23.01.2016;5.7;120.0;;5.9;-15.3
GME00132274;PIDING;24.01.2016;1.4;60.0;;3.9;-5.7
GME00132274;PIDING;25.01.2016;0.7;60.0;;4.3;-1.2
GME00132274;PIDING;26.01.2016;0.0;30.0;;9.7;-2.3
GME00132274;PIDING;27.01.2016;0.0;0.0;;10.6;-1.7
GME00132274;PIDING;28.01.2016;5.5;0.0;;14.2;0.6
GME00132274;PIDING;29.01.2016;3.2;0.0;;8.5;-0.9
GME00132274;PIDING;30.01.2016;12.7;0.0;;10.2;-3.0
GME00132274;PIDING;31.01.2016;40.6;0.0;;11.2;1.5
GME00132274;PIDING;01.02.2016;1.6;0.0;;15.2;1.0
GME00132274;PIDING;02.02.2016;0.0;0.0;;11.7;1.1
GME00132274;PIDING;03.02.2016;8.4;0.0;;6.7;1.7
GME00132274;PIDING;04.02.2016;6.2;0.0;;4.6;0.6
GME00132274;PIDING;05.02.2016;1.0;0.0;;4.8;-0.8
GME00132274;PIDING;06.02.2016;0.0;0.0;;13.7;-2.9
